entity_name,state,entity_type,individuals_affected,breach_date,breach_type,breach_location,business_associate,description,source,entity_type_raw,breach_type_raw,state_raw,breach_location_raw,year,month,quarter,day_of_week,year_month,severity,log_individuals,is_estimated,quality_flag
Metropolitan Life Insurance Company,NY,Other,4220.0,2017-07-19,Unauthorized Access/Disclosure,Other,No,"Metropolitan Life Insurance Company (MetLife), the covered entity (CE) reported that an unauthorized individual gained access to 4,420 online customer accounts through an email phishing scheme.  The protected health information (PHI) involved included names, addresses, health policy numbers, and account information. MetLife provided breach notification to HHS, individuals affected by the breach, and posted a warning notice on its website educating its customers of the risk of phishing attacks and provided customers with free credit monitoring. During OCR’s investigation, OCR determined that the incident did not constitute a breach, as the incident reported by MetLife did not involve a compromise to its own computer system. Specifically a phishing email was sent externally to MetLife customers and non-customers, which some MetLife and non-MetLife customers responded to providing their account authentication information which gave the unauthorized individual access to their accounts.",archive,Health Plan,Unauthorized Access/Disclosure,NY,Other,2017,7,2017Q3,Wednesday,2017-07,Medium,8.347827345782498,False,
"University Gastroenterology, Inc.",RI,Other,15478.0,2016-09-08,Hacking/IT Incident,Network Server,No,"An unauthorized person gained access to the covered entity’s (CE) electronic file storage system.  The breach affected 15,478 individuals’ protected health information (PHI) and included patients’ names, addresses, dates of birth, social security numbers, and medical billing information.  Following the breach, the CE completely dismantled the accessed system.  OCR reviewed the CE’s policies and procedures for safeguarding PHI, which conform to the HIPAA Privacy and Security Rules.  The CE provided OCR with assurances that it provided breach notification to affected individuals and the media.",archive,Healthcare Provider,Hacking/IT Incident,RI,Network Server,2016,9,2016Q3,Thursday,2016-09,High,9.647239545573877,False,
The Richards Group,VT,Other,15429.0,2021-01-28,Hacking/IT Incident,Email,Yes,"The covered entity (CE), The Richards Group, reported that an employee was the victim of an email phishing attack that compromised the protected health information (PHI) of 15,429 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses, and health insurance and treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE provided complimentary credit monitoring services and implemented additional administrative and technical safeguards to better protect its PHI.  Staff were retrained on email security.",archive,Business Associate,Hacking/IT Incident,VT,Email,2021,1,2021Q1,Thursday,2021-01,High,9.644068945357208,False,
Region 4 South Mental Health Consortium,MN,Other,677.0,2023-10-05,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Region 4 South Mental Health Consortium, reported that its business associate (BA) experienced a ransomware attack affecting the protected health information (PHI) of 677 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, claims information, diagnoses/conditions, lab results, medications, and health insurance and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative and technical safeguards to better protect PHI.",archive,Healthcare Provider,Hacking/IT Incident,MN,Network Server,2023,10,2023Q4,Thursday,2023-10,Low,6.519147287940395,False,
California Correctional Health Care Services,CA,Other,4105.0,2025-04-09,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), California Correctional Health Care Services, reported that a workforce member sent an unencrypted email containing the protected health information (PHI) of 4,105 individuals to the wrong recipients. The PHI involved included names, diagnoses, medications, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE retrained workforce members to better protect PHI.

",archive,Healthcare Provider,Unauthorized Access/Disclosure,CA,Email,2025,4,2025Q2,Wednesday,2025-04,Medium,8.32020459757888,False,
"Knowles Smith & Associates, d/b/a Village Family Dental ",NC,Other,240214.0,2024-04-08,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Knowles Smith & Associates dba Village Family Dental, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 240,214 individuals. The PHI involved included names, dates of birth, patient identification numbers, email addresses, and treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",archive,Healthcare Provider,Hacking/IT Incident,NC,Network Server,2024,4,2024Q2,Monday,2024-04,Critical,12.389289634638262,False,
VGM Homelink,IA,Other,1400.0,2014-04-18,Unauthorized Access/Disclosure,Paper/Films,Yes,"A business associate (BA), Tri State Adjustments, of the covered entity (CE), VGM Homelink, committed a programing error which resulted in individuals receiving the wrong billing statements. This breach affected approximately 1,400 individuals and included patients’ names, addresses, insurance information, and the medical equipment provided to them.  The CE provided breach notification to HHS, affected individuals, and the media, and placed a notification about the breach on its website.  The CE required its BA to implement new safeguards to prevent a similar breach from occurring. As a result of OCR’s investigation, the CE had its BA update its policy and procedures for Breach Rule notification.",archive,Business Associate,Unauthorized Access/Disclosure,IA,Paper/Films,2014,4,2014Q2,Friday,2014-04,Medium,7.244941546337007,False,
The Facial Pain Center ,MN,Other,1894.0,2024-08-09,Hacking/IT Incident,Email,No,"The covered entity (CE), The Facial Pain Center, reported that multiple employees were victims of an email phishing scheme that affected the protected health information (PHI) of 1,894 individuals. The PHI involved included names, medical record numbers, dates of birth, Social Security and drivers’ license numbers, financial and health insurance information, email addresses, and treatment information. The CE notified HHS, affected individuals, the media,  and posted substitute notice on its website.  In response to the breach, the CE implemented additional administrative and technical safeguards.",archive,Healthcare Provider,Hacking/IT Incident,MN,Email,2024,8,2024Q3,Friday,2024-08,Medium,7.546974117516527,False,
Arizona Health Care Cost Containment System- State Medicaid Agency,AZ,Other,3177.0,2025-10-03,Unauthorized Access/Disclosure,EMR,No,,under_investigation,Health Plan,Unauthorized Access/Disclosure,AZ,Electronic Medical Record,2025,10,2025Q4,Friday,2025-10,Medium,8.064007347096661,False,
Peachtree Orthopaedic Clinic,GA,Other,53686.0,2022-01-03,Hacking/IT Incident,Other,Yes,"Peachtree Orthopaedic Clinic, the covered entity, reported that its business associate (BA), experienced a ransomware attack that affected the electronic protected health information (ePHI) of 53,686 individuals. The ePHI involved included names, dates of service, and other treatment information.  This breach has been consolidated into an existing compliance review of the BA.",archive,Healthcare Provider,Hacking/IT Incident,GA,Other,2022,1,2022Q1,Monday,2022-01,High,10.890926165528413,False,
Delta Dental of California,CA,Other,11646.0,2012-01-19,Other,Paper/Films,No,\N,archive,Health Plan,Other,CA,Paper/Films,2012,1,2012Q1,Thursday,2012-01,High,9.362803915102653,False,
"InSync Computer Solutions, Inc.",AL,Other,50918.0,2014-07-11,Other,Network Server,Yes,\N,archive,Business Associate,Other,AL,Network Server,2014,7,2014Q3,Friday,2014-07,High,10.83799141382964,False,
"Integrated Regional Laboratories, LLC",FL,Other,29644.0,2019-08-05,Hacking/IT Incident,Network Server,Yes,"The covered entity’s (CE) business associate (BA), American Medical Collection Agency, notified the CE that the protected health information (PHI) for 29,644 of its patients was breached when an unauthorized user accessed the BA’s computer server. The types of PHI involved included demographic and financial information. The CE provided breach notification to HHS, affected individuals, and the media. The CE also offered free enrollment in a credit monitoring service to individuals whose credit or debit card information was included in the breach. As a result of the breach, the CE stopped sending PHI to the BA, requested that the BA destroy the CE’s PHI, and terminated its business relationship with the BA. OCR obtained assurances that the CE implemented the corrective actions listed above.  ",archive,Healthcare Provider,Hacking/IT Incident,FL,Network Server,2019,8,2019Q3,Monday,2019-08,High,10.297048756141468,False,
Ravkoo,FL,Other,105000.0,2022-01-03,Hacking/IT Incident,Network Server,No,"Ravkoo reported that its prescription portal was the target of a cybersecurity attack potentially exposing the protected health information (PHI) of 105,000 individuals. The PHI involved included names, telephone numbers, and prescription medication information. At the time of the incident, Ravkoo met the definition of a covered entity under HIPAA; however, during OCR’s investigation, Ravkoo permanently closed all of its locations, and ceased operations. Therefore the investigation was terminated and the case closed.",archive,Healthcare Provider,Hacking/IT Incident,FL,Network Server,2022,1,2022Q1,Monday,2022-01,Critical,11.561725152903833,True,
St. Andrew’s Resources for Seniors System,MO,Other,4434.0,2025-02-07,Hacking/IT Incident,Email,No,"The covered entity (CE), St. Andrew’s Resources for Seniors System, reported that multiple employees were the targets of an email phishing scheme that affected the protected health information (PHI) of 4,434 individuals.  The PHI involved included names, dates of birth, Social Security  and drivers’ license numbers, addresses, passport information, claims and financial information, diagnoses, lab results, medications, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its PHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.",archive,Healthcare Provider,Hacking/IT Incident,MO,Email,2025,2,2025Q1,Friday,2025-02,Medium,8.39728289474368,False,
New York State Office of Mental Health,NY,Other,21880.0,2016-08-15,Hacking/IT Incident,Network Server,No,"The covered entity (CE), the New York State Office of Mental Health, reported that unauthorized individuals accessed protected health information (PHI) due to a system administrator’s incomplete installation of a web content management platform.  The breach affected 21,880 individuals, and the types of electronic protected health information (ePHI) involved included demographic and clinical information.  The CE provided breach notification to HHS, the media, and the affected individuals (including the offer of one year of identity restoration services at no cost to the affected individuals), and posted notice to its website.  Following the breach, the CE conducted a forensic review, disconnected the applicable computer servers from its network and ensured there were no other internet servers vulnerable to attack.  The CE increased technical, physical and administrative safeguards to enhance network security monitoring and sanctioned its workforce member in connection with the breach incident.  During the investigation, OCR obtained assurances that the CE implemented the corrective actions listed above.  Additionally, the CE is expected to conduct a risk analysis and implement a corresponding remediation plan.",archive,Healthcare Provider,Hacking/IT Incident,NY,Network Server,2016,8,2016Q3,Monday,2016-08,High,9.99337395933065,False,
"Plaza Radiology, LLC",TN,Other,569022.0,2023-12-20,Hacking/IT Incident,Desktop,No,,archive,Healthcare Provider,Hacking/IT Incident,TN,"Desktop Computer, Network Server",2023,12,2023Q4,Wednesday,2023-12,Critical,13.251676134084148,False,
Cedars-Sinai Health System,CA,Other,33136.0,2014-09-10,Theft,Portable Device,No,"The covered entity (CE), Cedars-Sinai Health System, reported that an employee’s unencrypted laptop computer was stolen during a residential burglary.  Although the computer was used primarily for troubleshooting pathology software, some electronic protected health information (ePHI) of approximately 33,136 individuals was potentially stored in temporary files on the laptop’s hard drive.   The CE terminated the laptop’s remote access capabilities and conducted an internal investigation.  Although the CE’s laptops are encrypted as per its policy, the encryption for this laptop was disabled by a helpdesk service provider when providing assistance.  The CE provided breach notification to HHS, affected individuals, and the media, and posted notice of the incident on its website.  The CE has not learned of any identity theft or other misuse of the potentially affected information resulting from this incident.  Following OCR’s investigation, the CE updated its policies and procedures related to the storage, transmission and encryption of ePHI, as well as the enforcement of its employees’ adherence to these policies and procedures.  ",archive,Healthcare Provider,Theft,CA,Laptop,2014,9,2014Q3,Wednesday,2014-09,High,10.408405761837653,False,
Magellan Rx Management,AZ,Other,314704.0,2020-06-12,Hacking/IT Incident,Email,Yes,"Magellan Rx Management, the covered entity (CE), reported that its business associate (BA) experienced a ransomware attack.  This case is duplicative of an investigation being conducted into the BA that affected multiple CEs. Therefore, this case is closed and consolidated into an existing investigation.",archive,Business Associate,Hacking/IT Incident,AZ,"Email, Network Server",2020,6,2020Q2,Friday,2020-06,Critical,12.659390971073725,False,
Coppola Physical Therapy and Fitness Gyms,NH,Other,632.0,2024-01-31,Unauthorized Access/Disclosure,Email,Yes,,archive,Healthcare Provider,Unauthorized Access/Disclosure,NH,Email,2024,1,2024Q1,Wednesday,2024-01,Low,6.450470422144176,False,
"Alvaria, Inc.",MA,Other,4456.0,2023-05-26,Hacking/IT Incident,Network Server,Yes,"Alvaria, the business associate (BA), reported that it experienced a ransomware attack that compromised the protected health information (PHI) of 4,456 individuals. The PHI involved included names, phone numbers, addresses, birthdates, and treatment information. Following the breach, Alvaria implemented additional administrative and technical safeguards and provided complimentary credit monitoring services to affected individuals.",archive,Business Associate,Hacking/IT Incident,MA,Network Server,2023,5,2023Q2,Friday,2023-05,Medium,8.402231172946555,False,
Resource Anesthesiology Associates of VA LLC,NY,Other,4209.0,2022-10-24,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Resource Anesthesiology Associates of VA, reported that its business associate (BA) experienced a ransomware attack affecting the protected health information (PHI) of 4,209 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, drivers’ license numbers, diagnoses, medications, and financial information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided affected individuals with complimentary credit monitoring services and the BA implemented additional technical safeguards.",archive,Healthcare Provider,Hacking/IT Incident,NY,Network Server,2022,10,2022Q4,Monday,2022-10,Medium,8.345217926676428,False,
Cheyenne Regional Medical Center,WY,Other,17549.0,2019-12-10,Hacking/IT Incident,Email,No,"The covered entity (CE), Cheyenne Regional Medical Center, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 17,549 individuals.  The ePHI involved included names, addresses, Social Security numbers, claims and financial information, diagnoses, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",archive,Healthcare Provider,Hacking/IT Incident,WY,Email,2019,12,2019Q4,Tuesday,2019-12,High,9.772809228894012,False,
"Bronx Addiction Services Integrated Concepts Systems, Inc. ",NY,Other,823.0,2022-02-23,Hacking/IT Incident,Email,No,"The covered entity (CE), Bronx Addiction Services Integrated Concepts Systems, Inc., reported that an employee was the victim of an email phishing attack affecting the protected health information (PHI) of 823 individuals. The PHI involved included names, dates of birth, Social Security numbers, and health insurance and treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. The CE also provided affected individuals with complimentary credit monitoring services. In response to the breach, the CE implemented additional technical safeguards and retrained its staff on email security.",archive,Healthcare Provider,Hacking/IT Incident,NY,Email,2022,2,2022Q1,Wednesday,2022-02,Low,6.714170529909472,False,
University of Rochester Medical Center & Affiliates,NY,Other,537.0,2013-05-06,Loss,Portable Device,No,"The University of Rochester Medical Center (URMC) has agreed to pay $3 million to the Office for Civil Rights (OCR) at the U.S. Department of Health and Human Services (HHS), and take substantial corrective action to settle potential violations of the Health Insurance Portability and Accountability Act (HIPAA) Privacy and Security Rules. URMC includes healthcare components such as the School of Medicine and Dentistry and Strong Memorial Hospital. URMC is one of the largest health systems in New York State with over 26,000 employees.

URMC filed breach reports with OCR in 2013 and 2017 following its discovery that protected health information (PHI) had been impermissibly disclosed through the loss of an unencrypted flash drive and theft of an unencrypted laptop, respectively. OCR's investigation revealed that URMC failed to conduct an enterprise-wide risk analysis; implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level; utilize device and media controls; and employ a mechanism to encrypt and decrypt electronic protected health information (ePHI) when it was reasonable and appropriate to do so. Of note, in 2010, OCR investigated URMC concerning a similar breach involving a lost unencrypted flash drive and provided technical assistance to URMC. Despite the previous OCR investigation, and URMC's own identification of a lack of encryption as a high risk to ePHI, URMC permitted the continued use of unencrypted mobile devices.

""Because theft and loss are constant threats, failing to encrypt mobile devices needlessly puts patient health information at risk,"" said Roger Severino, OCR Director. ""When covered entities are warned of their deficiencies, but fail to fix the problem, they will be held fully responsible for their neglect.""

In addition to the monetary settlement, URMC will undertake a corrective action plan that includes two years of monitoring their compliance with the HIPAA Rules. The resolution agreement and corrective action plan may be found at http://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/urmc/index.html.
",archive,Healthcare Provider,Loss,NY,Other Portable Electronic Device,2013,5,2013Q2,Monday,2013-05,Low,6.2878585601617845,False,
"Vickers Engineering, Inc. ",MI,Other,857.0,2024-12-20,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Vickers Engineering, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 857 individuals. The PHI involved included names, Social Security numbers, addresses, dates of birth, medical record and patient ID numbers, diagnoses/conditions, medications, claims information, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards. Staff were retrained.",archive,Health Plan,Hacking/IT Incident,MI,Network Server,2024,12,2024Q4,Friday,2024-12,Low,6.754604099487962,False,
Spinal and Sports Care Clinic PS,WA,Other,1136.0,2023-08-08,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Spinal and Sports Care Clinic, reported that it experienced a ransomware attack that affected the protected health information (PHI) of 1,136 individuals.   The PHI involved included name, addresses, phone numbers, and health insurance and financial information. The CE notified HHS, affected individuals,  and the media. In its mitigation efforts, the CE provided complimentary credit monitoring services and updated its administrative, technical, and security safeguards to better protect its sensitive data.",archive,Healthcare Provider,Hacking/IT Incident,WA,Network Server,2023,8,2023Q3,Tuesday,2023-08,Medium,7.036148493750536,False,
Wyoming County Community Health System,NY,Other,26000.0,2023-11-16,Hacking/IT Incident,Network Server,No,,archive,Healthcare Provider,Hacking/IT Incident,NY,Network Server,2023,11,2023Q4,Thursday,2023-11,High,10.165890277802454,True,
"Meade Physicians, Inc. dba Brandenburg Family Medicine",KY,Other,696.0,2020-12-07,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), Meade Physicians, Inc. dba Brandenburg Family Medicine, reported that its business associate (BA) hired a subcontractor who mailed the protected health information (PHI) of 696 individuals to the wrong recipients.  The PHI involved included names, health insurance information, financial information, and treatment information.  The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring services.  In response to the breach, the BA revised and adopted new policies and procedures and retrained its employees.  The CE also updated its business associate agreement.",archive,Healthcare Provider,Unauthorized Access/Disclosure,KY,Paper/Films,2020,12,2020Q4,Monday,2020-12,Low,6.546785410760524,False,
AZ Plastic Surgery Center ,AZ,Other,5524.0,2019-02-08,Hacking/IT Incident,Network Server,No,"Arizona Plastic Surgery Center, the covered entity (CE), reported that its computer system was hacked by cyber criminals.  This breach incident affected 5,524 individuals.  The protected health information (PHI) involved included names, dates of birth, drivers’ license numbers, social security numbers, financial information, diagnoses/conditions, and other treatment information.  In response to this breach incident, the CE implemented additional technical safeguards.  Following OCR’s investigation, the CE revised its privacy and security policies and procedures, implemented security safeguards, and retrained its workforce members.",archive,Healthcare Provider,Hacking/IT Incident,AZ,Network Server,2019,2,2019Q1,Friday,2019-02,Medium,8.617038526385954,False,
American Fidelity Assurance Company,OK,Other,2664.0,2016-04-13,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), American Fidelity Assurance Company, erroneously mailed letters to customers containing pages that belonged to another customer due to a mailroom equipment malfunction and manual sorting by an employee.  The types of protected health information (PHI) involved in the breach included providers’ names, treatment dates, customers’ names, customers’ employers’ names, and customers’ employer identification numbers.   Approximately 2,664 individuals were affected by this incident.  The CE provided breach notification to HHS, all potentially affected individuals, and the media.   The CE also offered credit monitoring services.  The CE retrained staff on safeguarding PHI and verbally reprimanded the employee involved in the incident.  As a result of this incident, the CE decided to outsource its mailing and sorting process with a business associate using a fully automated sorting process which provides positive assurance and audit capability.  In addition, the CE added quality control measures to their mailing process.  OCR obtained assurances that the CE implemented the corrective actions listed above.
",archive,Health Plan,Unauthorized Access/Disclosure,OK,Paper/Films,2016,4,2016Q2,Wednesday,2016-04,Medium,7.887959336599945,False,
"Eau Claire Cooperative Health, Inc. DBA Cooperative Health",SC,Other,3755.0,2021-07-29,Hacking/IT Incident,Other,Yes,"The covered entity (CE), Eau Claire Cooperative Health dba Cooperative Health, reported that its business associate (BA) experienced a cyber-attack that compromised the electronic  protected health information (ePHI) of 3,755 individuals. The ePHI involved included names, dates of birth, prescription information, and medical record numbers. The BA notified affected individuals and the media; the CE notified OCR. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards to better protect ePHI. OCR provided technical assistance to the CE regarding the HIPAA Breach Notification and Privacy Rules.",archive,Healthcare Provider,Hacking/IT Incident,SC,Other,2021,7,2021Q3,Thursday,2021-07,Medium,8.231109840328154,False,
Gandara Mental Health Center ,MA,Other,20024.0,2024-10-24,Hacking/IT Incident,Network Server,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,MA,Network Server,2024,10,2024Q4,Thursday,2024-10,High,9.90473677193656,False,
Shady Lane Nursing Home,NJ,Other,566.0,2023-02-17,Hacking/IT Incident,Desktop,No,,under_investigation,Healthcare Provider,Hacking/IT Incident,NJ,"Desktop Computer, Laptop, Network Server",2023,2,2023Q1,Friday,2023-02,Low,6.340359303727752,False,
Tyler Family Circle of Care,TX,Other,1860.0,2021-05-06,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Tyler Family Circle of Care, reported that its business associate (BA) was subject to a ransomware attack that affected the electronic protected health information (ePHI) of approximately 1,860 individuals.  The ePHI involved included names, addresses, birthdates, and medications prescribed.  The BA notified affected individuals and the media while the CE notified HHS.",archive,Healthcare Provider,Hacking/IT Incident,TX,Network Server,2021,5,2021Q2,Thursday,2021-05,Medium,7.528869256642251,False,
"Allied Eye Physicians and Surgeons, Inc.",OH,Other,20651.0,2022-04-27,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Allied Eye Physicians and Surgeons, Inc., reported that its business associate (BA) was the victim of a hacking incident that affected the protected health information (PHI) of 20,651 individuals. The PHI involved included names, addresses, drivers’ license and Social Security numbers, diagnoses/conditions, medications and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. To mitigate harm, the CE implemented additional technical safeguards.
",archive,Healthcare Provider,Hacking/IT Incident,OH,Network Server,2022,4,2022Q2,Wednesday,2022-04,High,9.93556744599954,False,
"Premier Specialties, Incorporated",TX,Other,1300.0,2019-01-14,Unauthorized Access/Disclosure,Paper/Films,No,"Premier Specialties, Inc., the covered entity (CE), reported that paper copies of protected health information (PHI) were compromised when a box opened while in transit.  The breach affected 1,379 individuals and the PHI involved included names, addresses, dates of birth, clinical information, medications prescribed, and other treatment information.    The CE notified all affected individuals, the media, and OCR.  As a result of the breach, the CE modified its record management policies and procedures to implement stricter shipping guidelines.  Premier re-trained its workforce members on the modified policies and procedures.  OCR obtained assurances that the covered entity executed the corrective actions described above.",archive,Healthcare Provider,Unauthorized Access/Disclosure,TX,Paper/Films,2019,1,2019Q1,Monday,2019-01,Medium,7.170888478512505,False,
Cardiology Consultants/Baptist Health Care Corporation,FL,Other,8000.0,2010-02-18,Theft,Desktop,No,"A desktop computer that contained the e-PHI of approximately 8,000 individuals was stolen from the covered entity's (CE) locked medical suite.  The PHI involved in the breach included names, dates of birth, medical record numbers, ultrasound information, exam dates, and reasons for the ultrasound.  The computer that was stolen used proprietary software and a special electronic key to access the PHI.  The CE provided breach notification to affected individuals, HHS, and the media and posted substitute notification on its website.  Following the breach, the CE worked with law enforcement to identify the possible suspect.  The CE upgraded its facility access controls to include proximity card readers for every location that stores PHI.  As a result of OCR's investigation the CE updated its risk analysis and carried out additional risk management activities.  \\",archive,Healthcare Provider,Theft,FL,Desktop Computer,2010,2,2010Q1,Thursday,2010-02,Medium,8.987321812850125,True,
"Hanger Prosthetics & Orthotics, Inc. d/b/a Hanger Clinic",TX,Other,6033.0,2020-05-29,Unauthorized Access/Disclosure,Paper/Films,No,"Hanger Prosthetics & Orthotics, Inc., dba Hanger Clinic, the covered entity (CE),  reported that employees of its storage facility improperly disposed of documents containing the protected health information (PHI) of approximately 6,033 individuals.  The PHI involved included names, dates of birth, addresses, Social Security numbers, and treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE secured the remaining documents and terminated its lease with the storage facility. OCR obtained assurances that the CE implemented the actions noted.",archive,Healthcare Provider,Unauthorized Access/Disclosure,TX,Paper/Films,2020,5,2020Q2,Friday,2020-05,Medium,8.705165419719007,False,
"Owensboro Medical Practice, PLLC",KY,Other,4077.0,2014-09-25,Unauthorized Access/Disclosure,Portable Device,No,"The covered entity (CE), Owensboro Medical Practice, PLLC, reported that three employees of its business associate (BA) took a spreadsheet containing the protected health information (PHI) of 4,077 individuals.  The PHI involved included names, addresses, phone numbers, dates of birth, Social Security numbers, and treatment information.  The CE notified HHS, affected individuals, and the media.  Following the breach, the CE and BA implemented additional administrative, technical, and physical safeguards to better protect sensitive data.  All employees were retrained.  OCR obtained assurances that the CE and BA implemented the corrective actions noted.",archive,Healthcare Provider,Unauthorized Access/Disclosure,KY,Other Portable Electronic Device,2014,9,2014Q3,Thursday,2014-09,Medium,8.3133619511344,False,
"Anthem, Inc.",IN,Other,3525.0,2016-10-26,Unauthorized Access/Disclosure,Email,No,"The covered entity’s (CE) employee emailed protected health information (PHI) to himself, claiming it was for commission reconciliation purposes.  The CE ensured that all the PHI was deleted from the employee’s home computer and smart phones. The employee resigned from the company, and attested that all PHI was deleted from his devices.  The CE provided breach notification to HHS, affected individuals, and the media and substitute notice was posted on the CE's websites on October 29, 2016, and will remain posted through January 27, 2017.  To prevent a similar breach from happening in the future, the CE retrained its Medicare sales workforce, took steps to ensure that the former employee can no longer work or sell the CE's products, and changed its commission statement to reflect only the minimum necessary PHI.  OCR obtained written assurances that the CE implemented the corrective actions listed above.",archive,Health Plan,Unauthorized Access/Disclosure,IN,Email,2016,10,2016Q4,Wednesday,2016-10,Medium,8.167919362957816,False,
Legacy Community Health Services,TX,Other,3076.0,2020-11-20,Hacking/IT Incident,Email,No,"The covered entity (CE), Legacy Community Health Services, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,076 patients.  The ePHI involved included names, dates of birth, Social Security numbers, diagnoses, medications prescribed, and lab results.  The CE notified HHS, affected individuals, and the media.  As a result of the breach, the CE retrained its workforce members on the proper methods of identifying and responding to fraudulent email communications.",archive,Healthcare Provider,Hacking/IT Incident,TX,Email,2020,11,2020Q4,Friday,2020-11,Medium,8.031710375322042,False,
University of Colorado Hospital Authority,CO,Other,49881.0,2023-01-17,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), University of Colorado Hospital Authority, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 49,881 individuals. The PHI involved included names, addresses, dates of birth, Social Security and drivers’ license numbers, financial information,  diagnoses, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE and BA provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained on the requirements to protect and secure PHI.",archive,Healthcare Provider,Hacking/IT Incident,CO,Network Server,2023,1,2023Q1,Tuesday,2023-01,High,10.817415495221097,False,
VA Eastern Colorado Health Care System,CO,Other,2130.0,2016-11-08,Unauthorized Access/Disclosure,Email,No,"On September 1, 2016, the Veteran’s Health Administration – Eastern Colorado Healthcare System, the covered entity (CE), discovered that one of its workforce members emailed a spreadsheet containing 2,130 veterans’ protected health information (PHI) to his personal email account and later published the PHI in a book on Amazon. The PHI included affected individuals’ full names, diagnoses, and the last four digits of their social security numbers. The Amazon book contained the personal telephone numbers for four individuals. Based on these breaches and OCR’s investigation, the CE provided breach notification to the affected individuals, the media, and HHS and offered credit monitoring and contact information for affected individuals with questions regarding the breach. In addition, the CE provided OCR with written assurance that it is notifying the four individuals whose PHI appeared in the Amazon-published book. The CE also investigated the incident and mitigated the effects of the breach by training the involved workforce member (prior to his resignation) and working with Amazon to remove the book from the retail website. During the investigation, OCR provided the CE with technical assistance regarding the “notification to individuals” section of the Breach Notification Rule and the risk assessment process for breach notification. ",archive,Healthcare Provider,Unauthorized Access/Disclosure,CO,Email,2016,11,2016Q4,Tuesday,2016-11,Medium,7.664346632098617,False,
"BryLin Hospitals, Incorporated",NY,Other,8000.0,2020-10-17,Hacking/IT Incident,Network Server,No,"The covered entity (CE), BryLin Hospital, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 8,000 individuals. The ePHI involved included names, dates of birth, Social Security numbers, and treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative and technical safeguards.",archive,Healthcare Provider,Hacking/IT Incident,NY,Network Server,2020,10,2020Q4,Saturday,2020-10,Medium,8.987321812850125,True,
